I V
S 100
0 72,5580764893574
0,01 72,8255529778997
0,02 73,079771865751
0,03 73,3196951271402
0,04 73,5448372903649
0,05 73,7548073498599
0,06 73,949269496884
0,07 74,126943884251
0,08 74,2876216264229
0,09 74,4319745114952
0,1 74,5605868503172
0,11 74,6742774144045
0,12 74,7742723299819
0,13 74,8617565915509
0,14 74,9377667952106
0,15 75,0032190455901
0,16 75,0591449096745
0,17 75,1064647182043
0,18 75,1463105985513
0,19 75,1791715297185
0,2 75,2058734614443
0,21 75,2268364557712
0,22 75,2426643295054
0,23 75,2537750708004
0,24 75,2602613730761
0,25 75,2624280239914
0,26 75,2602613820221
0,27 75,2537750848942
0,28 75,2426643515763
0,29 75,2268364880952
0,3 75,2058734992061
0,31 75,1791715772642
0,32 75,1463106584504
0,33 75,1064647899505
0,34 75,0591449987758
0,35 75,0032191484895
0,36 74,9377669134797
0,37 74,8617567274521
0,38 74,7742724887729
0,39 74,6742775965121
0,4 74,5605870565473
0,41 74,4319747415356
0,42 74,2876218833264
0,43 74,1269441695373
0,44 73,9492698102575
0,45 73,754807691141
0,46 73,544837658598
0,47 73,3196955191326
0,48 73,0797722798159
0,49 72,8255534135357
0,5 72,5580769561674
0,51 72,2784480608791
0,52 71,9877232638966
0,53 71,6870150169915
0,54 71,3779714447748
0,55 71,0623028723453
0,56 70,7420028043082
0,57 70,4191340277138
0,58 70,09551877537
0,59 69,773644282137
0,6 69,4556625708342
0,61 69,1439092631449
0,62 68,840766142859
0,63 68,5488121941174
0,64 68,2701508840795
0,65 68,006962059415
0,66 67,7614943271032
0,67 67,5357658915505
0,68 67,3318929323865
0,69 67,1513995838943
0,7 66,9959748643617
0,71 66,866770379591
0,72 66,765096144842
0,73 66,691887376419
0,74 66,6476283910908
0,75 66,6328176121828
0,76 66,6476283421913
0,77 66,6918872752794
0,78 66,7650959948198
0,79 66,866770183425
0,8 66,9959746186439
0,81 67,1513992940556
0,82 67,3318926023716
0,83 67,5357655222737
0,84 67,7614939256957
0,85 68,0069616249378
0,86 68,2701504193344
0,87 68,5488117030707
0,88 68,8407656337684
0,89 69,1439087383231
0,9 69,4556620330665
0,91 69,773643732604
0,92 70,0955182210808
0,93 70,4191334725232
0,94 70,7420022507723
0,95 71,0623023255056
0,96 71,377970908519
0,97 71,6870144917072
0,98 71,9877227515785
0,99 72,2784475646803
