S 100
I V

0 66,314094304998
0,01 66,2288165947935
0,02 66,1509027766796
0,03 66,069257718081
0,04 65,9848828612113
0,05 65,9111589290897
0,06 65,8521728736644
0,07 65,7894342243702
0,08 65,7314463711834
0,09 65,6964084491461
0,1 65,6644254413472
0,11 65,649256301336
0,12 65,6486621168214
0,13 65,6697091140522
0,14 65,7049923996968
0,15 65,7582905142484
0,16 65,8234209478024
0,17 65,9242224328488
0,18 66,0288565409222
0,19 66,1658176627542
0,2 66,3122005083888
0,21 66,4974312173401
0,22 66,693857457486
0,23 66,9367762613733
0,24 67,165793365986
0,25 67,429110439649
0,26 67,7085219077978
0,27 68,0118272565853
0,28 68,3256934323981
0,29 68,6605016614832
0,3 69,0267322544031
0,31 69,3740360924657
0,32 69,7221279110679
0,33 70,1228941772501
0,34 70,4782257542652
0,35 70,8435422553686
0,36 71,2175292342044
0,37 71,5968531055361
0,38 71,9707274770798
0,39 72,3170214235557
0,4 72,6623363076052
0,41 72,9967603337413
0,42 73,3179691290458
0,43 73,6011709304089
0,44 73,885355352984
0,45 74,1219228522403
0,46 74,3625035191884
0,47 74,5429844829537
0,48 74,7135620588266
0,49 74,8496508283617
0,5 74,9709055549465
0,51 75,037927833546
0,52 75,0999231884402
0,53 75,1439541412707
0,54 75,1701251057399
0,55 75,1829922243492
0,56 75,1735799951783
0,57 75,1274768355287
0,58 75,0783331282765
0,59 75,0546192649584
0,6 74,9805538751931
0,61 74,9309488352614
0,62 74,8495929556475
0,63 74,7501950808705
0,64 74,6609482027153
0,65 74,5460146092422
0,66 74,4132928246305
0,67 74,2739361657602
0,68 74,1109770947542
0,69 73,9305994895238
0,7 73,7425583663075
0,71 73,5126013398392
0,72 73,2864811009257
0,73 73,0595920694766
0,74 72,7938545880332
0,75 72,5474276226504
0,76 72,2445192286836
0,77 71,9695288362583
0,78 71,6495253139547
0,79 71,3573911480233
0,8 71,0180155268276
0,81 70,701535887351
0,82 70,3962847802392
0,83 70,0549604192271
0,84 69,7430273785158
0,85 69,430246333124
0,86 69,1291924659182
0,87 68,825821088608
0,88 68,5160701870951
0,89 68,23999163895
0,9 67,9799865187317
0,91 67,7173594545258
0,92 67,5013603801226
0,93 67,2935442956887
0,94 67,1255107959139
0,95 66,9518474269183
0,96 66,7976942424942
0,97 66,6481186349754
0,98 66,5331363604744
0,99 66,4333861739281
