C Coefficients of linear lay of limb darkening (Van Hamme 2003)

S 7 11 11

1 U
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0	0,745	0,934	1,078	1,076	1,025	0,973	0,931	0,893	0,922	0,896	0,884
0,5	0,789	0,97	1,115	1,115	1,062	1,008	0,953	0,906	0,857	0,892	0,858
1	0,832	0,998	1,137	1,138	1,087	1,029	0,97	0,913	0,858	0,808	0,848
1,5	0,868	1,022	1,152	1,153	1,102	1,044	0,98	0,918	0,857	0,804	0,751
2	0,893	1,03	1,151	1,157	1,109	1,05	0,985	0,923	0,859	0,802	0,745
2,5	0,909	1,026	1,14	1,155	1,111	1,054	0,992	0,929	0,861	0,802	0,743
3	0,905	1,014	1,12	1,146	1,108	1,055	0,996	0,934	0,868	0,807	0,746
3,5	0,831	0,967	1,092	1,128	1,100	1,053	0,999	0,94	0,877	0,815	0,754
4	0,756	0,843	1,027	1,103	1,086	1,045	1,000	0,946	0,886	0,825	0,764
4,5	0,722	0,737	0,885	1,044	1,067	1,034	0,995	0,947	0,893	0,836	0,776
5	0,723	0,688	0,76	0,919	1,025	1,018	0,985	0,945	0,896	0,843	0,786

2 B
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0	1,031	1,034	1,007	0,968	0,93	0,897	0,868	0,838	0,901	0,884	0,879
0,5	1,045	1,05	1,023	0,983	0,941	0,908	0,874	0,842	0,812	0,883	0,862
1	1,051	1,056	1,033	0,99	0,947	0,911	0,876	0,841	0,81	0,782	0,855
1,5	1,053	1,059	1,04	0,998	0,952	0,914	0,875	0,837	0,803	0,776	0,747
2	1,05	1,054	1,041	1,001	0,955	0,912	0,87	0,833	0,796	0,767	0,738
2,5	1,041	1,044	1,038	1,002	0,957	0,911	0,869	0,829	0,789	0,758	0,729
3	1,003	1,029	1,03	1,002	0,957	0,912	0,867	0,826	0,785	0,751	0,72
3,5	0,86	0,975	1,014	0,996	0,956	0,911	0,867	0,824	0,783	0,747	0,713
4	0,725	0,821	0,959	0,985	0,952	0,909	0,866	0,824	0,782	0,744	0,709
4,5	0,655	0,681	0,817	0,94	0,944	0,906	0,864	0,822	0,781	0,742	0,705
5	0,63	0,611	0,68	0,824	0,912	0,899	0,861	0,819	0,778	0,739	0,701

3 V
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0	0,97	0,925	0,883	0,834	0,785	0,742	0,702	0,663	0,719	0,701	0,683
0,5	0,973	0,928	0,887	0,839	0,789	0,748	0,704	0,666	0,628	0,701	0,683
1	0,973	0,926	0,887	0,841	0,791	0,748	0,707	0,667	0,629	0,599	0,681
1,5	0,971	0,925	0,888	0,845	0,796	0,751	0,708	0,667	0,627	0,599	0,572
2	0,967	0,922	0,885	0,845	0,799	0,753	0,706	0,667	0,627	0,598	0,571
2,5	0,959	0,916	0,881	0,845	0,802	0,755	0,711	0,669	0,628	0,597	0,57
3	0,929	0,908	0,876	0,843	0,804	0,76	0,714	0,672	0,631	0,598	0,569
3,5	0,817	0,869	0,867	0,839	0,804	0,763	0,719	0,676	0,636	0,601	0,571
4	0,695	0,742	0,824	0,831	0,801	0,764	0,723	0,681	0,641	0,604	0,573
4,5	0,622	0,618	0,705	0,794	0,795	0,763	0,725	0,684	0,644	0,608	0,575
5	0,582	0,549	0,586	0,694	0,767	0,759	0,726	0,686	0,646	0,61	0,575

4 R
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0	0,825	0,775	0,726	0,689	0,649	0,607	0,564	0,525	0,562	0,544	0,527
0,5	0,816	0,778	0,727	0,689	0,65	0,614	0,569	0,532	0,493	0,547	0,531
1	0,804	0,779	0,727	0,688	0,651	0,614	0,575	0,536	0,498	0,469	0,534
1,5	0,793	0,78	0,729	0,689	0,653	0,618	0,578	0,54	0,501	0,474	0,447
2	0,781	0,778	0,731	0,69	0,655	0,619	0,58	0,544	0,505	0,478	0,451
2,5	0,767	0,775	0,733	0,69	0,657	0,621	0,585	0,548	0,51	0,482	0,455
3	0,748	0,769	0,735	0,691	0,658	0,625	0,589	0,553	0,517	0,487	0,46
3,5	0,686	0,742	0,734	0,692	0,659	0,627	0,593	0,558	0,524	0,493	0,465
4	0,609	0,652	0,705	0,692	0,659	0,628	0,596	0,563	0,53	0,498	0,471
4,5	0,556	0,556	0,612	0,666	0,658	0,629	0,599	0,566	0,533	0,503	0,475
5	0,524	0,497	0,512	0,583	0,637	0,628	0,6	0,568	0,536	0,506	0,477

5 I
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0	0,627	0,608	0,581	0,553	0,524	0,494	0,459	0,426	0,453	0,439	0,427
0,5	0,618	0,604	0,579	0,553	0,525	0,499	0,463	0,432	0,399	0,439	0,425
1	0,611	0,601	0,578	0,553	0,526	0,499	0,469	0,436	0,403	0,378	0,425
1,5	0,605	0,599	0,578	0,554	0,528	0,501	0,471	0,439	0,406	0,382	0,359
2	0,601	0,596	0,577	0,554	0,529	0,503	0,473	0,443	0,41	0,386	0,362
2,5	0,597	0,593	0,577	0,554	0,531	0,505	0,477	0,448	0,415	0,39	0,366
3	0,583	0,589	0,576	0,554	0,532	0,508	0,481	0,452	0,422	0,396	0,372
3,5	0,522	0,568	0,574	0,554	0,533	0,51	0,484	0,456	0,429	0,402	0,378
4	0,453	0,496	0,55	0,553	0,533	0,511	0,487	0,461	0,434	0,408	0,384
4,5	0,409	0,42	0,476	0,532	0,532	0,512	0,489	0,464	0,438	0,413	0,389
5	0,384	0,374	0,399	0,466	0,515	0,511	0,491	0,467	0,441	0,417	0,392

6 Rc
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0     0,879	0,815	0,764	0,723	0,679	0,635	0,591	0,552	0,594	0,576	0,558
0,5   0,874	0,818	0,765	0,724	0,681	0,642	0,596	0,558	0,52	0,579	0,562
1     0,867	0,82	0,765	0,723	0,682	0,642	0,602	0,562	0,524	0,494	0,564
1,5   0,859	0,822	0,767	0,725	0,685	0,646	0,604	0,565	0,525	0,498	0,471
2     0,849	0,823	0,768	0,725	0,686	0,647	0,605	0,568	0,529	0,501	0,475
2,5   0,836	0,822	0,77	0,725	0,689	0,65	0,611	0,573	0,533	0,504	0,477
3     0,815	0,818	0,772	0,726	0,69	0,654	0,615	0,576	0,54	0,509	0,481
3,5   0,742	0,79	0,771	0,727	0,691	0,656	0,619	0,582	0,546	0,514	0,486
4     0,651	0,689	0,74	0,726	0,691	0,657	0,623	0,587	0,552	0,52	0,491
4,5   0,59	0,582	0,64	0,699	0,69	0,658	0,625	0,59	0,556	0,524	0,494
5     0,553	0,517	0,533	0,611	0,668	0,657	0,627	0,593	0,558	0,527	0,496

7 Ic
      3500  3750  4000  4250  4500  4750  5000  5250  5500  5750  6000
0     0,707	0,664	0,626	0,598	0,568	0,533	0,49	0,449	0,468	0,448	0,43
0,5   0,698	0,665	0,625	0,597	0,569	0,539	0,496	0,457	0,418	0,453	0,434
1     0,689	0,665	0,625	0,596	0,568	0,539	0,503	0,464	0,425	0,395	0,439
1,5   0,681	0,666	0,627	0,597	0,57	0,542	0,507	0,469	0,43	0,402	0,374
2     0,674	0,665	0,628	0,597	0,571	0,543	0,509	0,475	0,437	0,409	0,381
2,5   0,666	0,662	0,63	0,597	0,572	0,544	0,514	0,48	0,444	0,415	0,388
3     0,652	0,658	0,631	0,598	0,572	0,547	0,517	0,485	0,452	0,423	0,396
3,5   0,595	0,636	0,631	0,599	0,573	0,548	0,521	0,49	0,459	0,43	0,404
4     0,527	0,562	0,606	0,599	0,573	0,549	0,523	0,495	0,466	0,437	0,411
4,5   0,481	0,481	0,528	0,577	0,572	0,55	0,525	0,498	0,47	0,442	0,417
5     0,453	0,43	0,444	0,506	0,555	0,549	0,527	0,5	0,473	0,446	0,42
